equipmentid,vehicledescription,vehicle_type,dept_name,deptid,purchasedate,age2020,purchaseprice,depreceated value,miles2020,cumulative_miles,maintenance2020,cumulative_maintenance,mpg2020,emissions2020,replacementvehicle_id,replacement_vehicle_desc,replacement_vehicle_purchaseprice,replacement_vehicle_mpge,replacement_vehicle_type,replacement_vehicle_annual_maintenance
R101,Ford F 150 XLT Super Crew,HEV,DPW: Solid Waste Management (Refuse Disposal),10707603,12/31/2021,0,39000,39000,4714,0,1397.4,0,30.6,0,R7000,Ford F 150 XLT Super Crew,39000,30.6,HEV,1397.4
R102,Ford Transit 350HD Cargo Van,EV,Baltimore County Department of Library,BS001-2180,12/31/2021,0,46000,46000,3641,0,1513.2,0,66,0,R7001,Ford Transit 350HD Cargo Van,46000,66,EV,1513.2
R103,Ford Transit 350HD Cargo Van,EV,Property Management - Building Maintenance,10252502,12/31/2021,0,46000,46000,3372,0,1513.2,0,66,0,R7002,Ford Transit 350HD Cargo Van,46000,66,EV,1513.2
R104,Ford F 150 XLT Super Crew,HEV,DPW: Traffic Signal Operations,10707703,12/31/2021,0,39000,39000,4780,0,1397.4,0,30.6,0,R7003,Ford F 150 XLT Super Crew,39000,30.6,HEV,1397.4
R105,Ford F 150 XLT Super Crew,HEV,Department of Health (Bioterrorism Program),005030XX43,12/31/2021,0,39000,39000,1530,0,1397.4,0,30.6,0,R7004,Ford F 150 XLT Super Crew,39000,30.6,HEV,1397.4
R106,Ford Transit 350HD Cargo Van,EV,OIT: Electronic Services/Telecommunications,10696904,12/31/2021,0,46000,46000,2471,0,1513.2,0,66,0,R7005,Ford Transit 350HD Cargo Van,46000,66,EV,1513.2
R107,Ford F 150 XLT Super Crew,HEV,OIT: Electronic Services/Telecommunications,10696904,12/31/2021,0,39000,39000,1320,0,1397.4,0,30.6,0,R7006,Ford F 150 XLT Super Crew,39000,30.6,HEV,1397.4
R108,Ford Transit 350HD Cargo Van,EV,Recreation and Parks (Recreation Services),10393902,12/31/2021,0,46000,46000,1210,0,1513.2,0,66,0,R7007,Ford Transit 350HD Cargo Van,46000,66,EV,1513.2
R109,Ford Transit 350HD Passenger Van,EV,Bureau of Corrections,10080801,12/31/2021,0,46000,46000,2479,0,1529.4,0,66,0,R7008,Ford Transit 350HD Passenger Van,46000,66,EV,1529.4
R110,Ford F 150 XLT Super Crew,HEV,DPW: Bureau of Utilties (Pumping/Treatment Plants),300707804,12/31/2021,0,39000,39000,3256,0,1397.4,0,30.6,0,R7009,Ford F 150 XLT Super Crew,39000,30.6,HEV,1397.4
R111,Ford Fusion,PHEV,Police Department - Administrative/Technical Services,10151502,12/31/2021,0,36000,36000,2912,0,1023.6,0,103,0,R7010,Ford Fusion,36000,103,PHEV,1023.6
R112,Harley Davidson Electra Glide Std,ICE,Police Department - Support Operations,10151507,12/31/2021,0,20500,20500,461,0,800,0,43,0,R7011,Harley Davidson Electra Glide Std,20500,43,ICE,800
R113,Harley Davidson Electra Glide Std,ICE,Police Department - Support Operations,10151507,12/31/2021,0,20500,20500,546,0,800,0,43,0,R7012,Harley Davidson Electra Glide Std,20500,43,ICE,800
R114,Harley Davidson Electra Glide Std,ICE,Police Department - Support Operations,10151507,12/31/2021,0,20500,20500,346,0,800,0,43,0,R7013,Harley Davidson Electra Glide Std,20500,43,ICE,800
R115,Harley Davidson Electra Glide Std,ICE,Police Department - Support Operations,10151507,12/31/2021,0,20500,20500,323,0,800,0,43,0,R7014,Harley Davidson Electra Glide Std,20500,43,ICE,800
R116,Harley Davidson Electra Glide Std,ICE,Police Department - Support Operations,10151507,12/31/2021,0,20500,20500,379,0,800,0,43,0,R7015,Harley Davidson Electra Glide Std,20500,43,ICE,800
R117,Harley Davidson Electra Glide Std,ICE,Police Department - Support Operations,10151507,12/31/2021,0,20500,20500,20,0,800,0,43,0,R7016,Harley Davidson Electra Glide Std,20500,43,ICE,800
