,year,vehicles_replaced
0,2021,"[24399.0, 26521.0, 26526.0, 26563.0, 26566.0, 26802.0, 26875.0, 26924.0, 26925.0, 26926.0, 26927.0, 26928.0, 26929.0, 27000.0, 27253.0, 27263.0, 27300.0, 27303.0, 27304.0, 27305.0, 27383.0, 27398.0, 27455.0, 27462.0, 27463.0, 27511.0, 27513.0, 27520.0, 27529.0, 27532.0, 27566.0, 27580.0, 27589.0, 27590.0, 27592.0, 27599.0, 27625.0, 27635.0, 27693.0, 27699.0, 27701.0, 27717.0, 27730.0, 27738.0, 27744.0, 27745.0, 27746.0, 27748.0, 27750.0, 27820.0, 27821.0, 27822.0, 27823.0, 27826.0, 27828.0, 27829.0, 27830.0, 27831.0, 27840.0, 27849.0, 27859.0, 27874.0, 27875.0, 27876.0, 27877.0, 27878.0, 27879.0, 27880.0, 27881.0, 27882.0, 27883.0, 27884.0, 27885.0, 27886.0, 27887.0, 27889.0, 27890.0, 27891.0, 27892.0, 27901.0, 27902.0, 27903.0, 27905.0, 27906.0, 27907.0, 27909.0, 27910.0, 27911.0, 27912.0, 27913.0, 27914.0, 27915.0, 27916.0, 27919.0, 27923.0, 27924.0, 27925.0, 27926.0, 27927.0, 27928.0, 27930.0, 27931.0, 27943.0, 27962.0, 27963.0, 27964.0, 27965.0, 27966.0, 27967.0, 27970.0, 28005.0, 28040.0, 28074.0, 28082.0, 28096.0, 30004.0, 30007.0, 30008.0, 30036.0, 30049.0, 30060.0, 30071.0, 30074.0, 30075.0, 30076.0, 30077.0, 30078.0, 30079.0, 30080.0, 30115.0, 30121.0, 30122.0, 30176.0, 30177.0, 30179.0, 30181.0, 30226.0, 30228.0, 30232.0, 30424.0, 30579.0, 30589.0, 30827.0, 30842.0, 30843.0, 30846.0, 30849.0, 30851.0, 30855.0, 30913.0, 30918.0, 30924.0, 30938.0, 31022.0]"
1,2022,"[26142.0, 26145.0, 26999.0, 27112.0, 27314.0, 27319.0, 27428.0, 27521.0, 27530.0, 27536.0, 27550.0, 27576.0, 27605.0, 27618.0, 27620.0, 27656.0, 27657.0, 27660.0, 27663.0, 27684.0, 27687.0, 27706.0, 27724.0, 27726.0, 27751.0, 27758.0, 27776.0, 27786.0, 27824.0, 27827.0, 27839.0, 27841.0, 27847.0, 27851.0, 27854.0, 27870.0, 27872.0, 27893.0, 27951.0, 27952.0, 27969.0, 27971.0, 27985.0, 27987.0, 27991.0, 28065.0, 28073.0, 28076.0, 28084.0, 28091.0, 30006.0, 30014.0, 30018.0, 30044.0, 30072.0, 30073.0, 30117.0, 30152.0, 30155.0, 30156.0, 30168.0, 30178.0, 30180.0, 30183.0, 30184.0, 30185.0, 30186.0, 30187.0, 30189.0, 30190.0, 30191.0, 30193.0, 30194.0, 30207.0, 30210.0, 30211.0, 30214.0, 30221.0, 30230.0, 30233.0, 30241.0, 30244.0, 30262.0, 30263.0, 30281.0, 30314.0, 30317.0, 30331.0, 30355.0, 30360.0, 30372.0, 30374.0, 30379.0, 30388.0, 30389.0, 30390.0, 30393.0, 30404.0, 30408.0, 30411.0, 30414.0, 30415.0, 30416.0, 30417.0, 30418.0, 30421.0, 30426.0, 30430.0, 30433.0, 30459.0, 30475.0, 30480.0, 30482.0, 30507.0, 30525.0, 30546.0, 30580.0, 30584.0, 30818.0, 30833.0, 30847.0, 30850.0, 30853.0, 30857.0, 30901.0, 30902.0, 30910.0, 30912.0, 30915.0, 30916.0, 30919.0, 30921.0, 30922.0, 30927.0, 30993.0, 31061.0, 31147.0, 31161.0, 31162.0, 31164.0, 31276.0, 31289.0, 31304.0, 31317.0, 31318.0]"
2,2023,"[26783.0, 26785.0, 27111.0, 27169.0, 27292.0, 27472.0, 27517.0, 27541.0, 27575.0, 27808.0, 27834.0, 27843.0, 27844.0, 27845.0, 27895.0, 27896.0, 27956.0, 27957.0, 28004.0, 28022.0, 30021.0, 30046.0, 30048.0, 30050.0, 30081.0, 30083.0, 30118.0, 30146.0, 30150.0, 30151.0, 30153.0, 30192.0, 30195.0, 30197.0, 30199.0, 30201.0, 30202.0, 30203.0, 30212.0, 30216.0, 30242.0, 30248.0, 30257.0, 30261.0, 30264.0, 30269.0, 30275.0, 30278.0, 30280.0, 30294.0, 30313.0, 30326.0, 30328.0, 30386.0, 30397.0, 30407.0, 30410.0, 30419.0, 30427.0, 30428.0, 30429.0, 30432.0, 30440.0, 30462.0, 30464.0, 30465.0, 30466.0, 30471.0, 30483.0, 30486.0, 30492.0, 30503.0, 30510.0, 30511.0, 30513.0, 30516.0, 30521.0, 30524.0, 30553.0, 30560.0, 30568.0, 30577.0, 30585.0, 30587.0, 30591.0, 30618.0, 30695.0, 30703.0, 30712.0, 30745.0, 30765.0, 30813.0, 30825.0, 30828.0, 30831.0, 30838.0, 30844.0, 30845.0, 30848.0, 30852.0, 30860.0, 30865.0, 30884.0, 30898.0, 30904.0, 30905.0, 30907.0, 30914.0, 30923.0, 30942.0, 30952.0, 30958.0, 30959.0, 30961.0, 31009.0, 31010.0, 31014.0, 31018.0, 31063.0, 31140.0, 31150.0, 31154.0, 31205.0, 31270.0, 31275.0, 31282.0, 31286.0, 31287.0, 31290.0, 31291.0, 31293.0, 31297.0, 31302.0, 31307.0, 31322.0, 31324.0, 31350.0, 31447.0, 31451.0, 31453.0, 31460.0, 31484.0, 31557.0, 31559.0]"
3,2024,"[27002.0, 27470.0, 27471.0, 27539.0, 27540.0, 27542.0, 27809.0, 27816.0, 27980.0, 30045.0, 30065.0, 30084.0, 30085.0, 30128.0, 30129.0, 30132.0, 30135.0, 30144.0, 30158.0, 30196.0, 30198.0, 30200.0, 30204.0, 30259.0, 30284.0, 30354.0, 30366.0, 30375.0, 30385.0, 30394.0, 30420.0, 30422.0, 30423.0, 30425.0, 30441.0, 30463.0, 30499.0, 30508.0, 30529.0, 30531.0, 30574.0, 30583.0, 30599.0, 30601.0, 30621.0, 30622.0, 30635.0, 30661.0, 30680.0, 30691.0, 30731.0, 30747.0, 30770.0, 30796.0, 30801.0, 30810.0, 30819.0, 30820.0, 30834.0, 30835.0, 30837.0, 30856.0, 30859.0, 30862.0, 30866.0, 30885.0, 30886.0, 30887.0, 30895.0, 30928.0, 30943.0, 30960.0, 30962.0, 30980.0, 30986.0, 30991.0, 30992.0, 30994.0, 30998.0, 31008.0, 31016.0, 31017.0, 31019.0, 31023.0, 31024.0, 31027.0, 31028.0, 31062.0, 31065.0, 31075.0, 31081.0, 31084.0, 31088.0, 31100.0, 31104.0, 31116.0, 31124.0, 31126.0, 31133.0, 31143.0, 31149.0, 31156.0, 31157.0, 31209.0, 31217.0, 31221.0, 31237.0, 31272.0, 31277.0, 31278.0, 31281.0, 31288.0, 31292.0, 31294.0, 31295.0, 31296.0, 31299.0, 31305.0, 31309.0, 31320.0, 31323.0, 31325.0, 31330.0, 31331.0, 31359.0, 31413.0, 31455.0, 31456.0, 31458.0, 31464.0, 31471.0, 31476.0, 31479.0, 31483.0, 31552.0, 31553.0, 31556.0, 31558.0, 31569.0, 31571.0, 31573.0, 31574.0, 31579.0, 31581.0, 31582.0]"
4,2025,"[27797.0, 27873.0, 30064.0, 30067.0, 30126.0, 30130.0, 30131.0, 30134.0, 30138.0, 30139.0, 30142.0, 30163.0, 30340.0, 30345.0, 30346.0, 30384.0, 30448.0, 30449.0, 30450.0, 30451.0, 30452.0, 30457.0, 30460.0, 30474.0, 30608.0, 30614.0, 30617.0, 30619.0, 30624.0, 30628.0, 30631.0, 30662.0, 30663.0, 30696.0, 30699.0, 30702.0, 30705.0, 30706.0, 30707.0, 30708.0, 30709.0, 30711.0, 30836.0, 30839.0, 30840.0, 30841.0, 30858.0, 30864.0, 30931.0, 30955.0, 30957.0, 30969.0, 30976.0, 30977.0, 30978.0, 30985.0, 30987.0, 31002.0, 31004.0, 31006.0, 31007.0, 31011.0, 31012.0, 31020.0, 31021.0, 31025.0, 31026.0, 31029.0, 31045.0, 31057.0, 31080.0, 31083.0, 31085.0, 31091.0, 31094.0, 31096.0, 31119.0, 31125.0, 31129.0, 31136.0, 31138.0, 31145.0, 31146.0, 31155.0, 31163.0, 31165.0, 31185.0, 31206.0, 31210.0, 31214.0, 31216.0, 31220.0, 31222.0, 31223.0, 31226.0, 31230.0, 31238.0, 31240.0, 31268.0, 31274.0, 31308.0, 31310.0, 31311.0, 31313.0, 31316.0, 31336.0, 31343.0, 31346.0, 31352.0, 31353.0, 31356.0, 31360.0, 31419.0, 31425.0, 31426.0, 31434.0, 31438.0, 31448.0, 31450.0, 31459.0, 31465.0, 31474.0, 31478.0, 31481.0, 31489.0, 31501.0, 31514.0, 31536.0, 31551.0, 31555.0, 31560.0, 31563.0, 31568.0, 31575.0, 31576.0, 31578.0, 31584.0, 31588.0, 31589.0, 31617.0, 31621.0, 31633.0, 31634.0, 31654.0]"
5,2026,"[27270.0, 27494.0, 27788.0, 27789.0, 27796.0, 30061.0, 30066.0, 30133.0, 30136.0, 30137.0, 30160.0, 30337.0, 30341.0, 30351.0, 30447.0, 30454.0, 30602.0, 30606.0, 30609.0, 30625.0, 30627.0, 30630.0, 30636.0, 30641.0, 30684.0, 30685.0, 30690.0, 30704.0, 30861.0, 30867.0, 30868.0, 30877.0, 30883.0, 30899.0, 30932.0, 30937.0, 30970.0, 31033.0, 31039.0, 31040.0, 31041.0, 31043.0, 31044.0, 31058.0, 31089.0, 31090.0, 31092.0, 31099.0, 31101.0, 31108.0, 31109.0, 31111.0, 31117.0, 31118.0, 31120.0, 31123.0, 31127.0, 31128.0, 31134.0, 31137.0, 31139.0, 31153.0, 31160.0, 31167.0, 31169.0, 31172.0, 31183.0, 31192.0, 31193.0, 31203.0, 31213.0, 31219.0, 31224.0, 31231.0, 31233.0, 31234.0, 31235.0, 31239.0, 31241.0, 31242.0, 31244.0, 31245.0, 31250.0, 31256.0, 31257.0, 31258.0, 31259.0, 31260.0, 31265.0, 31267.0, 31271.0, 31283.0, 31314.0, 31326.0, 31329.0, 31334.0, 31338.0, 31344.0, 31347.0, 31348.0, 31351.0, 31357.0, 31363.0, 31375.0, 31386.0, 31392.0, 31397.0, 31407.0, 31411.0, 31412.0, 31420.0, 31421.0, 31428.0, 31433.0, 31466.0, 31475.0, 31485.0, 31490.0, 31491.0, 31511.0, 31512.0, 31548.0, 31554.0, 31562.0, 31564.0, 31566.0, 31567.0, 31570.0, 31580.0, 31585.0, 31593.0, 31611.0, 31619.0, 31629.0, 31632.0, 31636.0, 31641.0, 31648.0, 31651.0, 31669.0, 31685.0]"
6,2027,"[27271.0, 27495.0, 27791.0, 27792.0, 27794.0, 27798.0, 30032.0, 30034.0, 30164.0, 30165.0, 30166.0, 30167.0, 30339.0, 30342.0, 30347.0, 30626.0, 30632.0, 30633.0, 30634.0, 30642.0, 30678.0, 30686.0, 30687.0, 30688.0, 30689.0, 30697.0, 30710.0, 30869.0, 30873.0, 30876.0, 30889.0, 30941.0, 30956.0, 30975.0, 30979.0, 31034.0, 31037.0, 31046.0, 31047.0, 31066.0, 31067.0, 31069.0, 31071.0, 31076.0, 31078.0, 31086.0, 31095.0, 31097.0, 31098.0, 31107.0, 31113.0, 31122.0, 31130.0, 31131.0, 31135.0, 31151.0, 31159.0, 31168.0, 31170.0, 31173.0, 31175.0, 31177.0, 31181.0, 31184.0, 31190.0, 31194.0, 31202.0, 31204.0, 31218.0, 31228.0, 31243.0, 31247.0, 31255.0, 31269.0, 31279.0, 31280.0, 31319.0, 31327.0, 31332.0, 31333.0, 31335.0, 31339.0, 31342.0, 31345.0, 31349.0, 31354.0, 31362.0, 31365.0, 31368.0, 31380.0, 31383.0, 31384.0, 31387.0, 31389.0, 31390.0, 31393.0, 31399.0, 31400.0, 31402.0, 31403.0, 31404.0, 31408.0, 31409.0, 31410.0, 31416.0, 31422.0, 31427.0, 31429.0, 31431.0, 31436.0, 31437.0, 31439.0, 31441.0, 31443.0, 31449.0, 31452.0, 31467.0, 31472.0, 31492.0, 31494.0, 31495.0, 31498.0, 31502.0, 31510.0, 31531.0, 31533.0, 31535.0, 31546.0, 31547.0, 31591.0, 31592.0, 31594.0, 31608.0, 31622.0, 31626.0, 31640.0, 31663.0, 31665.0, 31667.0, 31672.0, 31673.0, 31682.0, 'R1046', 'R1057', 'R1070']"
7,2028,"[27119.0, 27795.0, 30023.0, 30025.0, 30031.0, 30172.0, 30349.0, 30455.0, 30629.0, 30643.0, 30652.0, 30653.0, 30655.0, 30872.0, 30874.0, 30875.0, 30878.0, 30879.0, 30880.0, 30953.0, 30954.0, 30973.0, 31035.0, 31038.0, 31042.0, 31048.0, 31050.0, 31053.0, 31068.0, 31070.0, 31073.0, 31074.0, 31077.0, 31093.0, 31132.0, 31176.0, 31178.0, 31182.0, 31187.0, 31188.0, 31189.0, 31191.0, 31195.0, 31196.0, 31197.0, 31198.0, 31199.0, 31200.0, 31208.0, 31211.0, 31215.0, 31236.0, 31249.0, 31251.0, 31254.0, 31266.0, 31301.0, 31303.0, 31337.0, 31340.0, 31341.0, 31355.0, 31358.0, 31361.0, 31366.0, 31369.0, 31370.0, 31371.0, 31373.0, 31377.0, 31378.0, 31379.0, 31381.0, 31382.0, 31385.0, 31388.0, 31391.0, 31395.0, 31398.0, 31401.0, 31406.0, 31414.0, 31418.0, 31430.0, 31432.0, 31435.0, 31457.0, 31461.0, 31470.0, 31480.0, 31482.0, 31486.0, 31493.0, 31497.0, 31500.0, 31503.0, 31504.0, 31505.0, 31506.0, 31508.0, 31509.0, 31513.0, 31515.0, 31534.0, 31537.0, 31545.0, 31561.0, 31572.0, 31577.0, 31586.0, 31590.0, 31598.0, 31612.0, 31613.0, 31624.0, 31656.0, 31661.0, 31670.0, 31677.0, 31683.0, 31693.0, 31710.0, 31714.0, 31715.0, 'R274', 'R292', 'R707', 'R712', 'R715', 'R757', 'R821', 'R927', 'R938', 'R939', 'R941', 'R1080', 'R1081', 'R1058', 'R1061', 'R1086', 'R1111', 'R1204', 'R1208', 'R1210', 'R1216', 'R1234', 'R1303', 'R1305']"
8,2029,"[27799.0, 30446.0, 30453.0, 30458.0, 30640.0, 30644.0, 30645.0, 30650.0, 30651.0, 30654.0, 30658.0, 30669.0, 30974.0, 31030.0, 31032.0, 31049.0, 31051.0, 31052.0, 31054.0, 31055.0, 31056.0, 31171.0, 31174.0, 31179.0, 31180.0, 31186.0, 31201.0, 31246.0, 31248.0, 31364.0, 31367.0, 31372.0, 31374.0, 31394.0, 31396.0, 31405.0, 31442.0, 31444.0, 31496.0, 31499.0, 31516.0, 31532.0, 31541.0, 31549.0, 31587.0, 31596.0, 31606.0, 31614.0, 31616.0, 31618.0, 31655.0, 31657.0, 31659.0, 31664.0, 31671.0, 31679.0, 31680.0, 31684.0, 31694.0, 31695.0, 31696.0, 31698.0, 31701.0, 31702.0, 31703.0, 31706.0, 31711.0, 31712.0, 31718.0, 31800.0, 31805.0, 31806.0, 31810.0, 31877.0, 'R112', 'R113', 'R114', 'R115', 'R116', 'R117', 'R177', 'R193', 'R271', 'R275', 'R277', 'R278', 'R279', 'R283', 'R285', 'R286', 'R287', 'R288', 'R294', 'R299', 'R300', 'R303', 'R304', 'R324', 'R336', 'R421', 'R422', 'R426', 'R455', 'R456', 'R587', 'R593', 'R691', 'R703', 'R710', 'R761', 'R766', 'R772', 'R450', 'R462', 'R564', 'R717', 'R750', 'R755', 'R763', 'R802', 'R857', 'R859', 'R923', 'R929', 'R932', 'R981', 'R1041', 'R1045', 'R1052', 'R1054', 'R1055', 'R1059', 'R1065', 'R1068', 'R1072', 'R1084', 'R1048', 'R1071', 'R1092', 'R1173', 'R1212', 'R1214', 'R1218', 'R1223', 'R1227', 'R1229', 'R1298', 'R1299', 'R1302', 'R1304', 'R1315', 'R1317', 'R1319', 'R1320', 'R1325', 'R1327', 'R1328', 'R1249', 'R1262', 'R1356', 'R1372', 'R1390']"
9,2030,"[30444.0, 30445.0, 30646.0, 30649.0, 30670.0, 30671.0, 31031.0, 31261.0, 31440.0, 31507.0, 31538.0, 31540.0, 31565.0, 31599.0, 31600.0, 31603.0, 31610.0, 31637.0, 31639.0, 31643.0, 31644.0, 31646.0, 31650.0, 31660.0, 31678.0, 31691.0, 31697.0, 31704.0, 31732.0, 31735.0, 31737.0, 31741.0, 31774.0, 31775.0, 31799.0, 31801.0, 31802.0, 31804.0, 31807.0, 31808.0, 31809.0, 31812.0, 31813.0, 31814.0, 31815.0, 31816.0, 31817.0, 31819.0, 31821.0, 'R112', 'R113', 'R114', 'R115', 'R116', 'R117', 'R141', 'R142', 'R156', 'R159', 'R178', 'R179', 'R199', 'R201', 'R225', 'R226', 'R246', 'R252', 'R255', 'R256', 'R257', 'R258', 'R261', 'R264', 'R266', 'R272', 'R273', 'R274', 'R276', 'R282', 'R289', 'R290', 'R291', 'R292', 'R293', 'R302', 'R313', 'R326', 'R327', 'R341', 'R353', 'R354', 'R356', 'R388', 'R389', 'R527', 'R704', 'R712', 'R143', 'R337', 'R419', 'R434', 'R448', 'R509', 'R514', 'R563', 'R588', 'R687', 'R694', 'R708', 'R711', 'R751', 'R760', 'R764', 'R767', 'R941', 'R1046', 'R1057', 'R1070', 'R739', 'R776', 'R783', 'R785', 'R810', 'R811', 'R814', 'R817', 'R741', 'R818', 'R877', 'R880', 'R892', 'R900', 'R907', 'R909', 'R934', 'R935', 'R984', 'R991', 'R995', 'R1009', 'R1043', 'R1047', 'R1051', 'R1056', 'R1060', 'R1062', 'R1063', 'R1064', 'R1066', 'R1074', 'R1083', 'R1085', 'R1087', 'R1091', 'R1120', 'R1211', 'R1233', 'R961', 'R1177', 'R1191', 'R1195', 'R1231', 'R1237', 'R1297', 'R1301', 'R1306', 'R1309', 'R1314', 'R1321', 'R1322', 'R1324', 'R1329', 'R1333', 'R1334', 'R1360', 'R1373', 'R1260', 'R1404', 'R1420']"
