,t,totfuelcost,totmandrcost,amt_spent,totemission,percent_decrease,v_count,n_replaced
0,2021,2550107.9494575034,1619085.333900694,0.0,2617677.2681250777,0.0,"{'HEV': 84, 'PHEV': 0, 'ICE': 1374}",0
1,2021,2550107.9494575034,1619085.333900694,4999800.0,2617677.2681250777,0.0,"{'HEV': 84, 'PHEV': 0, 'ICE': 1374}",154
2,2022,2550188.550837155,1649617.4799372442,5150000.0,2617950.697347146,-0.00010445490183139671,"{'HEV': 91, 'PHEV': 7, 'ICE': 1360}",145
3,2023,2475895.367842129,1629997.022711592,5303900.0,2542128.5116375023,0.028860989629056706,"{'HEV': 111, 'PHEV': 49, 'ICE': 1298}",144
4,2024,2328809.3818278406,1521195.4001760639,5463600.0,2391728.963589035,0.08631633367771083,"{'HEV': 134, 'PHEV': 104, 'ICE': 1220}",145
5,2025,2098254.9535882324,1329000.840771318,5627400.0,2155791.222430498,0.1764488125862084,"{'HEV': 159, 'PHEV': 181, 'ICE': 1118}",144
6,2026,1871704.5007968291,1154988.043323486,5796300.0,1924206.239498714,0.26491845922743,"{'HEV': 202, 'PHEV': 245, 'ICE': 1011}",141
7,2027,1693694.0589951447,913820.6977155061,5970200.0,1742429.4333670312,0.3343604826369396,"{'HEV': 243, 'PHEV': 294, 'ICE': 921}",145
8,2028,1570953.571146988,710133.9923124032,6148900.0,1617227.4114267793,0.3821899165648005,"{'HEV': 275, 'PHEV': 343, 'ICE': 840}",148
9,2029,1504388.3156715445,541962.1608665502,6333700.0,1549590.7575680506,0.4080283400719022,"{'HEV': 295, 'PHEV': 385, 'ICE': 778}",162
10,2030,1493436.411538992,477437.39043087256,6523800.0,1538955.7172864156,0.4120911175621359,"{'HEV': 316, 'PHEV': 393, 'ICE': 749}",179
11,2031,1524990.6397283901,478851.84641805873,6719200.0,1571913.5403597993,0.3995006338250059,"{'HEV': 323, 'PHEV': 395, 'ICE': 740}",184
12,2032,1576518.417108599,496768.0680019723,6920700.0,1625332.3456909726,0.3790936852749905,"{'HEV': 334, 'PHEV': 397, 'ICE': 727}",197
13,2033,1648086.4511025688,548450.5571696056,7128700.0,1699234.1652192855,0.3508618553132911,"{'HEV': 343, 'PHEV': 397, 'ICE': 718}",209
14,2034,1728417.1372014745,622018.800279147,7342500.0,1782143.3691261092,0.3191890418169934,"{'HEV': 349, 'PHEV': 397, 'ICE': 712}",217
15,2035,1815969.0504363717,708582.2525308733,7562900.0,1872467.0175974716,0.2846837765685936,"{'HEV': 352, 'PHEV': 397, 'ICE': 709}",225
16,2036,1908455.7803021024,813550.3651675681,7789700.0,1967861.0311017479,0.2482415402907034,"{'HEV': 355, 'PHEV': 397, 'ICE': 706}",229
17,2037,2007307.998249663,936272.0385731454,8023300.0,2069801.5824578432,0.20929840830212532,"{'HEV': 356, 'PHEV': 397, 'ICE': 705}",239
