equipmentid,description,dept,deptid,purchasedate,purchaseprice,depreceated value,miles2020,cumulative_miles,maintenance2020,mpg2020,emissions2020
31620,2018 FORD EXPLORER AWD',Police Department - Operations,10151506,8/7/2018,"$33,085.00","$22,975.69","11,550","9,437",$202.18,3.69,7569.859634
31600,2018 FORD EXPLORER AWD',Police Department - Operations,10151506,8/28/2018,"$33,085.00","$22,975.69","14,126","14,063",$778.05,13.98,2446.777227
31803,2020 FORD FUSION (HYBRID)',Police Department - Administrative/Technical Services,10151502,12/30/2019,"$24,095.00","$22,087.08","2,178","2,188",$202.38,31.47,167.5386882
31613,2018 FORD EXPLORER AWD',Police Department - Operations,10151506,8/28/2018,"$33,085.00","$22,975.69","22,902","22,578",$581.14,14.27,3884.664536
31608,2018 FORD EXPLORER AWD',Police Department - Operations,10151506,9/19/2018,"$33,085.00","$23,435.21","34,406","26,765","$1,654.16",10.36,8040.386333
31681,2019 FORD E-ONE',DPW: Bureau of Transportation Specialized Transp,005070XX22,7/10/2019,"$57,636.18","$51,765.83","15,109","14,990",$392.59,7.72,4735.807021
31680,2019 FORD E350 BUS',DPW: Bureau of Transportation,10707704,7/10/2019,"$57,636.18","$51,765.83","16,628","15,465",$584.60,10.02,4018.246098
31694,2019 DODGE Grand Caravan',Police Department - Investigative Services,10151503,8/14/2019,"$22,796.00","$19,629.89","16,451","15,170",$243.45,15.18,2624.071227
31701,2019 DODGE Grand Caravan',Police Department - Vice/Narcotics,10151504,8/14/2019,"$22,796.00","$19,629.89","14,165","12,861",$124.37,17.68,1939.856604
31822,2020 FORD FUSION (HYBRID)',Police Department - Administrative/Technical Services,10151502,1/14/2020,"$24,095.00","$22,421.74","3,484","3,494",$234.58,36.51,231.0265927
31690,2019 DODGE Grand Caravan',Bureau of Corrections,10080801,8/14/2019,"$22,796.00","$20,685.26","8,546","8,064",$97.06,18.71,1105.973913
31699,2019 DODGE Grand Caravan',Police Department - Investigative Services,10151503,8/14/2019,"$22,796.00","$19,629.89","7,051","6,264",$63.18,18.81,907.7272007
31692,2019 DODGE Grand Caravan',Police Department - Administrative/Technical Services,10151502,8/14/2019,"$22,796.00","$19,629.89","3,801","3,628",$26.35,20.71,444.3850935
31701,2019 DODGE Grand Caravan',Police Department - Vice/Narcotics,10151504,8/14/2019,"$22,796.00","$19,629.89","14,165","12,861",$124.37,17.68,1939.856604
31693,2019 DODGE Grand Caravan',Police Department - Investigative Services,10151503,8/20/2019,"$22,796.00","$19,629.89","21,556","20,190",$357.30,19.72,2646.057935
31688,2019 DODGE Grand Caravan',Property Management - Building Oper. & Mgmt.,10252503,8/20/2019,"$22,796.00","$20,685.26","3,945","2,973",$192.05,20.93,456.3074416
31703,2019 DODGE Grand Caravan',Police Department - Investigative Services,10151503,8/20/2019,"$22,796.00","$19,629.89","13,909","12,837",$99.27,21.59,1559.477145
