equipmentid,vehicledescription,vehicle_type,dept_name,deptid,purchasedate,age2020,purchaseprice,depreceated value,miles2020,cumulative_miles,maintenance2020,cumulative_maintenance,mpg2020,emissions2020,replacementvehicle_id,replacement_vehicle_desc,replacement_vehicle_purchaseprice,replacement_vehicle_mpge,replacement_vehicle_type
24399,1999 GMC 3/4 TON PU',ICE,DPW: Solid Waste Management (Refuse Disposal),10707603,3/1/99,21,23886.00,3000.00,"4,714","74,546",3512.53,23036.48,13,877.89,R101,Ford F 150 XLT Super Crew,39000,30.6,HEV
26142,2002 FORD VAN CARGO',ICE,Baltimore County Department of Library,BS001-2180,4/9/02,18,21913.00,7000.00,"3,641","134,821",46.82,6064.33,12,734.57,R102,Ford Transit 350HD Cargo Van,46000,66,EV
26145,2002 FORD VAN CARGO',ICE,Property Management - Building Maintenance,10252502,4/9/02,18,21913.00,7000.00,"3,372","130,297",2089.54,11054.93,12,680.30,R103,Ford Transit 350HD Cargo Van,46000,66,EV
26521,2000 GMC 3/4 TON PU',ICE,DPW: Traffic Signal Operations,10707703,8/1/00,20,21150.00,5000.00,"4,780","140,340",919.84,15497.88,16,723.27,R104,Ford F 150 XLT Super Crew,39000,30.6,HEV
26526,2000 GMC 3/4 TON PU',ICE,Department of Health (Bioterrorism Program),005030XX43,7/1/00,20,23444.00,5000.00,"1,530","128,856",1750.79,16759.82,16,231.51,R105,Ford F 150 XLT Super Crew,39000,30.6,HEV
26563,2000 CHEVROLET VAN CARGO',ICE,OIT: Electronic Services/Telecommunications,10696904,11/1/00,20,19219.00,3000.00,"2,471","160,697",1168.03,16461.43,15,398.82,R106,Ford Transit 350HD Cargo Van,46000,66,EV
26566,2000 GMC 1.0 TON UT',ICE,OIT: Electronic Services/Telecommunications,10696904,11/1/00,20,35402.00,5000.00,"1,320","107,700",1929.84,20563.47,13,245.82,R107,Ford F 150 XLT Super Crew,39000,30.6,HEV
26783,2001 GMC VAN CARGO',ICE,Recreation and Parks (Recreation Services),10393902,7/17/01,19,22072.00,3000.00,"1,210","75,912",1189.21,17754.50,15,195.29,R108,Ford Transit 350HD Cargo Van,46000,66,EV
26785,2001 GMC VAN 12PSG',ICE,Bureau of Corrections,10080801,7/17/01,19,22072.00,5500.00,"2,479","105,705",328.22,20288.00,14,428.69,R109,Ford Transit 350HD Passenger Van,46000,66,EV
26802,2001 CHEVROLET 1.0 TON UT',ICE,DPW: Bureau of Utilties (Pumping/Treatment Plants),300707804,10/1/01,19,27702.00,6000.00,"3,256","149,968",922.94,30121.17,14,563.06,R110,Ford F 150 XLT Super Crew,39000,30.6,HEV
