,t,no,desc,decision,age,vmt,ypd,value
0,2021,24399.0,1999 GMC 3/4 TON PU',1999,21.0,74546.0,-22,{2021: 0.5793389131487962}
1,2021,26142.0,2002 FORD VAN CARGO',2002,18.0,134821.0,-19,{2021: 0.5587603709873975}
2,2021,26145.0,2002 FORD VAN CARGO',2002,18.0,130297.0,-19,{2021: 0.5539261327387114}
3,2021,26521.0,2000 GMC 3/4 TON PU',2000,20.0,140340.0,-21,{2021: 0.6087157811790305}
4,2021,26526.0,2000 GMC 3/4 TON PU',2000,20.0,128856.0,-21,{2021: 0.5896354577757639}
5,2021,26563.0,2000 CHEVROLET VAN CARGO',2000,20.0,160697.0,-21,{2021: 0.6195312729280837}
6,2021,26566.0,2000 GMC 1.0 TON UT',2000,20.0,107700.0,-21,{2021: 0.5721853965618012}
7,2021,26783.0,2001 GMC VAN CARGO',2001,19.0,75912.0,-20,{2021: 0.5218057968964728}
8,2021,26785.0,2001 GMC VAN 12PSG',2001,19.0,105705.0,-20,{2021: 0.5512567676980283}
9,2021,26802.0,2001 CHEVROLET 1.0 TON UT',2001,19.0,149968.0,-20,{2021: 0.5909266048663034}
10,2021,26875.0,2002 FORD TAURUS',2002,18.0,118065.0,-19,{2021: 0.537049869310467}
11,2021,26924.0,2003 Harley Davidson FLHT',2002,18.0,34715.0,-19,{2021: 0.4612660563437718}
12,2021,26925.0,2003 Harley Davidson FLHT',2002,18.0,31022.0,-19,{2021: 0.45826546990012135}
13,2021,26926.0,2003 Harley Davidson FLHT',2002,18.0,35964.0,-19,{2021: 0.4621859278634408}
14,2021,26927.0,2003 Harley Davidson FLHT',2002,18.0,26645.0,-19,{2021: 0.4543527431278786}
15,2021,26928.0,2003 Harley Davidson FLHT',2002,18.0,27799.0,-19,{2021: 0.45538126119069067}
16,2021,26929.0,2003 Harley Davidson FLHT',2002,18.0,23920.0,-19,{2021: 0.4517360678989575}
17,2021,26997.0,2003 CHEVROLET C4500 UTIL BODY',2003,17.0,133737.0,-18,{2021: 0.5577097297096846}
18,2021,26998.0,2003 CHEVROLET C4500 UTIL BODY',2003,17.0,142031.0,-18,{2021: 0.5451118317790055}
19,2021,26999.0,2003 CHEVROLET Astro',2003,17.0,119606.0,-18,{2021: 0.52001206960724}
20,2021,27000.0,2003 CHEVROLET 3/4 TON PU',2003,17.0,142084.0,-18,{2021: 0.5483913998754374}
21,2021,27002.0,2003 FORD E350',2003,17.0,66173.0,-18,{2021: 0.4845950698797242}
22,2021,27111.0,2004 CHEVROLET 3/4 TON PU',2004,16.0,47447.0,-17,{2021: 0.43424663830989296}
23,2021,27112.0,2004 CHEVROLET 3/4 TON PU',2004,16.0,80403.0,-17,{2021: 0.4614022786202987}
24,2021,27119.0,2004 FORD F450',2004,16.0,169697.0,-17,{2021: 0.5734252766219257}
25,2021,27143.0,2005 FORD WRECKER',2004,16.0,79343.0,-17,{2021: 0.49043394455738787}
26,2021,27169.0,2003 CHEVROLET VAN CARGO',2004,16.0,115654.0,-17,{2021: 0.5069452854939382}
27,2021,27253.0,2005 FORD CROWN VICTORIA',2005,15.0,126519.0,-16,{2021: 0.4781159589468278}
28,2021,27263.0,2005 JEEP LIBERTY',2005,15.0,104521.0,-16,{2021: 0.4583615638073754}
29,2021,27270.0,2005 CHEVROLET SUBURBAN',2005,15.0,137869.0,-16,{2021: 0.5126787301488513}
30,2021,27271.0,2005 CHEVROLET SUBURBAN',2005,15.0,150048.0,-16,{2021: 0.49801043929496236}
31,2021,27286.0,2005 CHEVROLET C4500 UTIL BODY',2005,15.0,173015.0,-16,{2021: 0.5149267913866168}
32,2021,27287.0,2005 CHEVROLET C4500 UTIL BODY',2005,15.0,158390.0,-16,{2021: 0.5421811860487058}
33,2021,27288.0,2005 CHEVROLET C4500 UTIL BODY',2005,15.0,102907.0,-16,{2021: 0.4835778414858286}
34,2021,27289.0,2005 CHEVROLET C4500 UTIL BODY',2005,15.0,144351.0,-16,{2021: 0.5253896724392874}
35,2021,27290.0,2005 CHEVROLET C4500 UTIL BODY',2005,15.0,144572.0,-16,{2021: 0.5206596360350498}
36,2021,27291.0,2005 CHEVROLET C4500 UTIL BODY',2005,15.0,131813.0,-16,{2021: 0.47852783047430314}
37,2021,27292.0,"2005 CHEVROLET VAN,PRISONER TP'",2005,15.0,124906.0,-16,{2021: 0.516627887396195}
38,2021,27300.0,2005 JEEP LIBERTY',2005,15.0,108602.0,-16,{2021: 0.45944159499916964}
39,2021,27303.0,2005 CHEVROLET 3/4 TON PU',2005,15.0,157809.0,-16,{2021: 0.5236405021119236}
40,2021,27304.0,2005 CHEVROLET 3/4 TON PU',2005,15.0,138357.0,-16,{2021: 0.515437732528695}
41,2021,27305.0,2005 CHEVROLET 3/4 TON PU',2005,15.0,117461.0,-16,{2021: 0.49904771127602277}
42,2021,27314.0,2005 CHEVROLET 3/4 TON PU',2005,15.0,76950.0,-16,{2021: 0.4808521638586983}
43,2021,27319.0,2005 CHEVROLET 3/4 TON PU',2005,15.0,121639.0,-16,{2021: 0.4864024034938435}
44,2021,27383.0,2006 FORD CROWN VICTORIA',2005,15.0,103643.0,-16,{2021: 0.46339178602519665}
45,2021,27398.0,2006 FORD CROWN VICTORIA',2005,15.0,109509.0,-16,{2021: 0.46540310940894936}
46,2021,27428.0,2005 Chrysler Sebring',2005,15.0,86144.0,-16,{2021: 0.44722981856983235}
47,2021,27455.0,2006 JEEP LIBERTY',2005,15.0,120390.0,-16,{2021: 0.47230373836349937}
48,2021,27462.0,2006 JEEP LIBERTY',2005,15.0,100812.0,-16,{2021: 0.4549116113462573}
49,2021,27463.0,2006 JEEP LIBERTY',2005,15.0,97419.0,-16,{2021: 0.45522975283829675}
50,2021,27470.0,"2006 CHEVROLET VAN,PRISONER TP'",2006,14.0,116442.0,-15,{2021: 0.47293843939697017}
51,2021,27471.0,"2006 CHEVROLET VAN,PRISONER TP'",2006,14.0,139000.0,-15,{2021: 0.47960743132598116}
52,2021,27472.0,"2006 CHEVROLET VAN,PRISONER TP'",2006,14.0,158480.0,-15,{2021: 0.49631356485459405}
53,2021,27494.0,2006 CHEVROLET SUBURBAN',2006,14.0,145787.0,-15,{2021: 0.4895470397876104}
54,2021,27495.0,2006 CHEVROLET SUBURBAN',2006,14.0,133299.0,-15,{2021: 0.46428966530754023}
55,2021,27511.0,2006 CHEVROLET 3/4 TON PU',2006,14.0,185014.0,-15,{2021: 0.543044335961748}
56,2021,27513.0,2006 CHEVROLET 3/4 TON PU',2006,14.0,164228.0,-15,{2021: 0.5011729513027445}
57,2021,27517.0,2006 CHEVROLET 3/4 TON PU',2006,14.0,67255.0,-15,{2021: 0.4334565356507514}
58,2021,27520.0,2006 CHEVROLET 3/4 TON PU',2006,14.0,198780.0,-15,{2021: 0.5518928413893832}
59,2021,27521.0,2006 CHEVROLET 3/4 TON PU',2006,14.0,137335.0,-15,{2021: 0.48062449118452644}
60,2021,27529.0,2006 JEEP LIBERTY',2006,14.0,87340.0,-15,{2021: 0.42079781026295715}
61,2021,27530.0,2006 CHEVROLET 3/4 TON PU',2006,14.0,114395.0,-15,{2021: 0.476845327160656}
62,2021,27532.0,2006 CHEVROLET 3/4 TON PU',2006,14.0,176369.0,-15,{2021: 0.5248025118205719}
63,2021,27536.0,2006 CHEVROLET 3/4 TON PU',2006,14.0,115588.0,-15,{2021: 0.4569185406363223}
64,2021,27539.0,2006 GMC SAVANA',2006,14.0,175882.0,-15,{2021: 0.4936446959038058}
65,2021,27540.0,2006 GMC SAVANA',2006,14.0,117142.0,-15,{2021: 0.45100207986881635}
66,2021,27541.0,2006 GMC SAVANA',2006,14.0,143298.0,-15,{2021: 0.4939940582482605}
67,2021,27542.0,2006 GMC SAVANA',2006,14.0,114834.0,-15,{2021: 0.4614945531180219}
68,2021,27550.0,2006 DODGE Stratus',2006,14.0,76812.0,-15,{2021: 0.4177573187400325}
69,2021,27566.0,2005 Toyota PRIUS',2006,14.0,64821.0,-15,{2021: 0.3948853890496982}
70,2021,27575.0,2007 CHEVROLET 1.0 TON UT',2006,14.0,113539.0,-15,{2021: 0.44452068909739284}
71,2021,27576.0,2007 CHEVROLET 1.0 TON UT',2006,14.0,120102.0,-15,{2021: 0.4512493226475972}
72,2021,27580.0,2007 CHEVROLET SILVERADO',2006,14.0,166915.0,-15,{2021: 0.5197333270734998}
73,2021,27586.0,2007 CHEVROLET C4500 UTIL BODY',2006,14.0,162220.0,-15,{2021: 0.5353694505774284}
74,2021,27587.0,2007 CHEVROLET C4500 UTIL BODY',2006,14.0,163751.0,-15,{2021: 0.5522100903754377}
75,2021,27588.0,2007 CHEVROLET C4500 UTIL BODY',2006,14.0,133077.0,-15,{2021: 0.507201097305307}
76,2021,27589.0,2007 JEEP LIBERTY',2006,14.0,116401.0,-15,{2021: 0.46836043443812386}
77,2021,27590.0,2007 JEEP LIBERTY',2006,14.0,114440.0,-15,{2021: 0.4487597477852181}
78,2021,27592.0,2007 JEEP LIBERTY',2006,14.0,104815.0,-15,{2021: 0.4434565355629311}
79,2021,27599.0,2007 FORD ESCAPE',2006,14.0,100572.0,-15,{2021: 0.4248391400760568}
80,2021,27605.0,2007 FORD CROWN VICTORIA',2007,13.0,85620.0,-14,{2021: 0.4103027995386393}
81,2021,27618.0,2007 FORD CROWN VICTORIA',2007,13.0,135300.0,-14,{2021: 0.4381694900813943}
82,2021,27620.0,2007 FORD CROWN VICTORIA',2007,13.0,119314.0,-14,{2021: 0.4346526850738096}
83,2021,27625.0,2007 FORD CROWN VICTORIA',2007,13.0,182978.0,-14,{2021: 0.488161319581349}
84,2021,27635.0,2007 FORD CROWN VICTORIA',2007,13.0,175741.0,-14,{2021: 0.4805275675303969}
85,2021,27656.0,2007 FORD CROWN VICTORIA',2007,13.0,121966.0,-14,{2021: 0.4285110460168113}
86,2021,27657.0,2007 FORD CROWN VICTORIA',2007,13.0,122602.0,-14,{2021: 0.4333822252460943}
87,2021,27660.0,2007 FORD CROWN VICTORIA',2007,13.0,105071.0,-14,{2021: 0.41739016545776164}
88,2021,27663.0,2007 FORD CROWN VICTORIA',2007,13.0,129393.0,-14,{2021: 0.4360608153295085}
89,2021,27684.0,2007 FORD CROWN VICTORIA',2007,13.0,111509.0,-14,{2021: 0.4166841816314545}
90,2021,27687.0,2007 FORD CROWN VICTORIA',2007,13.0,136634.0,-14,{2021: 0.44246911878847517}
91,2021,27693.0,2007 FORD CROWN VICTORIA',2007,13.0,141865.0,-14,{2021: 0.4512884939332686}
92,2021,27699.0,2007 FORD CROWN VICTORIA',2007,13.0,261297.0,-14,{2021: 0.5989433282509111}
93,2021,27701.0,2007 FORD CROWN VICTORIA',2007,13.0,179104.0,-14,{2021: 0.47186953776180196}
94,2021,27706.0,2007 FORD CROWN VICTORIA',2007,13.0,108437.0,-14,{2021: 0.4199801091278337}
95,2021,27717.0,2007 FORD CROWN VICTORIA',2007,13.0,136606.0,-14,{2021: 0.4613640047596278}
96,2021,27724.0,2007 FORD CROWN VICTORIA',2007,13.0,133036.0,-14,{2021: 0.447186942540371}
97,2021,27726.0,2007 FORD CROWN VICTORIA',2007,13.0,112889.0,-14,{2021: 0.423759341391938}
98,2021,27730.0,2007 FORD CROWN VICTORIA',2007,13.0,175793.0,-14,{2021: 0.5057343717786656}
99,2021,27738.0,2007 FORD CROWN VICTORIA',2007,13.0,219276.0,-14,{2021: 0.525371868626504}
100,2021,27744.0,2007 FORD CROWN VICTORIA',2007,13.0,138343.0,-14,{2021: 0.4696540540738182}
101,2021,27745.0,2007 FORD CROWN VICTORIA',2007,13.0,201823.0,-14,{2021: 0.5146242291407683}
102,2021,27746.0,2007 FORD CROWN VICTORIA',2007,13.0,168025.0,-14,{2021: 0.48351805772208417}
103,2021,27748.0,2007 FORD CROWN VICTORIA',2007,13.0,141730.0,-14,{2021: 0.4639290352129796}
104,2021,27750.0,2007 FORD CROWN VICTORIA',2007,13.0,183540.0,-14,{2021: 0.49627661702270426}
105,2021,27751.0,2007 FORD CROWN VICTORIA',2007,13.0,123007.0,-14,{2021: 0.43038697688683986}
106,2021,27758.0,2007 CHEVROLET MALIBU',2007,13.0,103707.0,-14,{2021: 0.4187496637819838}
107,2021,27767.0,2007 CHEVROLET C4500 UTIL BODY',2007,13.0,136453.0,-14,{2021: 0.48862123877378355}
108,2021,27776.0,2007 FORD FUSION',2007,13.0,114216.0,-14,{2021: 0.4338230099527892}
109,2021,27786.0,2007 FORD FUSION',2007,13.0,121732.0,-14,{2021: 0.4337084382749714}
110,2021,27788.0,2007 CHEVROLET SUBURBAN',2007,13.0,172626.0,-14,{2021: 0.4848355047709741}
111,2021,27789.0,2007 CHEVROLET SUBURBAN',2007,13.0,165565.0,-14,{2021: 0.4853891220516675}
112,2021,27791.0,2007 CHEVROLET SUBURBAN',2007,13.0,146525.0,-14,{2021: 0.4678911998777068}
113,2021,27792.0,2007 CHEVROLET SUBURBAN',2007,13.0,167984.0,-14,{2021: 0.47734908397886566}
114,2021,27794.0,2007 CHEVROLET SUBURBAN',2007,13.0,149066.0,-14,{2021: 0.46829434356726696}
115,2021,27795.0,2007 CHEVROLET SUBURBAN',2007,13.0,147970.0,-14,{2021: 0.4473298122265404}
116,2021,27796.0,2007 CHEVROLET SUBURBAN',2007,13.0,180409.0,-14,{2021: 0.49799196230686177}
117,2021,27797.0,2007 CHEVROLET SUBURBAN',2007,13.0,170484.0,-14,{2021: 0.5147283609730866}
118,2021,27798.0,2007 CHEVROLET SUBURBAN',2007,13.0,145756.0,-14,{2021: 0.4596597049941802}
119,2021,27799.0,2007 CHEVROLET SUBURBAN',2007,13.0,109971.0,-14,{2021: 0.414904704731877}
120,2021,27808.0,"2007 CHEVROLET VAN,PRISONER TP'",2007,13.0,189152.0,-14,{2021: 0.529175582437719}
121,2021,27809.0,"2007 CHEVROLET VAN,PRISONER TP'",2007,13.0,165688.0,-14,{2021: 0.47167233479628357}
122,2021,27816.0,2007 DODGE Caravan',2007,13.0,93006.0,-14,{2021: 0.40242174171559536}
123,2021,27820.0,2007 HONDA CIVIC',2007,13.0,110388.0,-14,{2021: 0.41028908696231553}
124,2021,27821.0,2007 HONDA CIVIC',2007,13.0,108417.0,-14,{2021: 0.4086376969795751}
125,2021,27822.0,2007 HONDA CIVIC',2007,13.0,129222.0,-14,{2021: 0.4260690356862795}
126,2021,27823.0,2007 HONDA CIVIC',2007,13.0,116070.0,-14,{2021: 0.41504971500997206}
127,2021,27824.0,2006 CHEVROLET COBALT',2007,13.0,34397.0,-14,{2021: 0.34680870484231124}
128,2021,27826.0,2007 FORD FOCUS',2007,13.0,124292.0,-14,{2021: 0.4320538280499618}
129,2021,27827.0,2007 FORD FOCUS',2007,13.0,52550.0,-14,{2021: 0.367423060629061}
130,2021,27828.0,2007 FORD FOCUS',2007,13.0,123594.0,-14,{2021: 0.42996102185043905}
131,2021,27829.0,2007 FORD FOCUS',2007,13.0,120962.0,-14,{2021: 0.4297276679946718}
132,2021,27830.0,2007 FORD FOCUS',2007,13.0,142782.0,-14,{2021: 0.44790733316231945}
133,2021,27831.0,2007 FORD FOCUS',2007,13.0,114703.0,-14,{2021: 0.4210718186223603}
134,2021,27834.0,2007 CHEVROLET IMPALA',2007,13.0,56862.0,-14,{2021: 0.3759494325823748}
135,2021,27839.0,2007 GMC 3/4 TON PU',2007,13.0,142748.0,-14,{2021: 0.47238661507839425}
136,2021,27840.0,2007 GMC 3/4 TON PU',2007,13.0,177886.0,-14,{2021: 0.4964339528885172}
137,2021,27841.0,2007 GMC 3/4 TON PU',2007,13.0,146093.0,-14,{2021: 0.4746769867746738}
138,2021,27843.0,2007 GMC 3/4 TON PU',2007,13.0,93175.0,-14,{2021: 0.41429540199956405}
139,2021,27844.0,2007 GMC 3/4 TON PU',2007,13.0,49897.0,-14,{2021: 0.39897492279320024}
140,2021,27845.0,2007 GMC 3/4 TON PU',2007,13.0,77072.0,-14,{2021: 0.4114728218863388}
141,2021,27847.0,2007 GMC 3/4 TON PU',2007,13.0,146534.0,-14,{2021: 0.47878623154626715}
142,2021,27849.0,2007 GMC 3/4 TON PU',2007,13.0,185216.0,-14,{2021: 0.5111753303217617}
143,2021,27851.0,2007 GMC 3/4 TON PU',2007,13.0,132416.0,-14,{2021: 0.4521789706505311}
144,2021,27854.0,2007 GMC 3/4 TON PU',2007,13.0,142516.0,-14,{2021: 0.4490988801669356}
145,2021,27859.0,2007 GMC 3/4 TON PU',2007,13.0,175784.0,-14,{2021: 0.5169483618301148}
146,2021,27870.0,2007 CHEVROLET IMPALA',2007,13.0,87302.0,-14,{2021: 0.40344510982617515}
147,2021,27872.0,2007 CHEVROLET MALIBU',2007,13.0,92228.0,-14,{2021: 0.4104003989624184}
148,2021,27873.0,2007 JEEP Grand Cherokee',2007,13.0,114915.0,-14,{2021: 0.4281610857469494}
149,2021,27874.0,2007 HONDA CIVIC',2007,13.0,116378.0,-14,{2021: 0.4153077708773917}
150,2021,27875.0,2007 HONDA CIVIC',2007,13.0,81511.0,-14,{2021: 0.3860946737042764}
151,2021,27876.0,2007 HONDA CIVIC',2007,13.0,160151.0,-14,{2021: 0.45198270426881554}
152,2021,27877.0,2007 HONDA CIVIC',2007,13.0,108788.0,-14,{2021: 0.4089485370016942}
153,2021,27878.0,2007 HONDA CIVIC',2007,13.0,79966.0,-14,{2021: 0.38480020514855146}
154,2021,27879.0,2007 HONDA CIVIC',2007,13.0,84129.0,-14,{2021: 0.3882881485773431}
155,2021,27880.0,2007 HONDA CIVIC',2007,13.0,86839.0,-14,{2021: 0.3905587050731455}
156,2021,27881.0,2007 HONDA CIVIC',2007,13.0,82162.0,-14,{2021: 0.38664010996950426}
157,2021,27882.0,2007 HONDA CIVIC',2007,13.0,94348.0,-14,{2021: 0.3968500736070866}
158,2021,27883.0,2007 HONDA CIVIC',2007,13.0,139394.0,-14,{2021: 0.43459158206092974}
159,2021,27884.0,2007 HONDA CIVIC',2007,13.0,90827.0,-14,{2021: 0.3939000258499942}
160,2021,27885.0,2007 HONDA CIVIC',2007,13.0,84144.0,-14,{2021: 0.38830071623322393}
161,2021,27886.0,2007 HONDA CIVIC',2007,13.0,102167.0,-14,{2021: 0.403401173695898}
162,2021,27887.0,2007 HONDA CIVIC',2007,13.0,102178.0,-14,{2021: 0.4034103899768773}
163,2021,27889.0,2007 HONDA CIVIC',2007,13.0,83594.0,-14,{2021: 0.38783990218426034}
164,2021,27890.0,2007 HONDA CIVIC',2007,13.0,127101.0,-14,{2021: 0.4242919691447309}
165,2021,27891.0,2007 HONDA CIVIC',2007,13.0,117752.0,-14,{2021: 0.41645896815607525}
166,2021,27892.0,2007 HONDA CIVIC',2007,13.0,133333.0,-14,{2021: 0.429513411241351}
167,2021,27893.0,2007 HONDA CIVIC',2007,13.0,61985.0,-14,{2021: 0.3697349371223437}
168,2021,27895.0,2007 FORD TAURUS',2007,13.0,58729.0,-14,{2021: 0.376506188433341}
169,2021,27896.0,2007 CHEVROLET MALIBU',2007,13.0,41581.0,-14,{2021: 0.3602141554401418}
170,2021,27901.0,2008 FORD ESCAPE',2007,13.0,198661.0,-14,{2021: 0.4842480661335205}
171,2021,27902.0,2008 FORD ESCAPE',2007,13.0,108292.0,-14,{2021: 0.4085329665139016}
172,2021,27903.0,2008 FORD ESCAPE',2007,13.0,127479.0,-14,{2021: 0.4246086740729276}
173,2021,27905.0,2008 FORD ESCAPE',2007,13.0,186990.0,-14,{2021: 0.47446959201451316}
174,2021,27906.0,2008 FORD ESCAPE',2007,13.0,143731.0,-14,{2021: 0.438225310297939}
175,2021,27907.0,2008 FORD ESCAPE',2007,13.0,117465.0,-14,{2021: 0.41621850700688884}
176,2021,27909.0,2008 FORD ESCAPE',2007,13.0,144089.0,-14,{2021: 0.438525258351628}
177,2021,27910.0,2008 FORD ESCAPE',2007,13.0,157156.0,-14,{2021: 0.44947336231127744}
178,2021,27911.0,2008 FORD ESCAPE',2007,13.0,128626.0,-14,{2021: 0.4255696808259481}
179,2021,27912.0,2008 FORD ESCAPE',2007,13.0,100193.0,-14,{2021: 0.4017472701819814}
